"시점","신혼부부 특성별(1)","신혼부부 특성별(2)",소득구간별(1),데이터
"2015","전국","소계",소득 평균 (만원),4569
"2015","혼인연차별","혼인1년차",소득 평균 (만원),4636
"2015","혼인연차별","혼인2년차",소득 평균 (만원),4442
"2015","혼인연차별","혼인3년차",소득 평균 (만원),4441
"2015","혼인연차별","혼인4년차",소득 평균 (만원),4642
"2015","혼인연차별","혼인5년차",소득 평균 (만원),4691
"2015","시도별","서울특별시",소득 평균 (만원),5544
"2015","시도별","부산광역시",소득 평균 (만원),4311
"2015","시도별","대구광역시",소득 평균 (만원),4033
"2015","시도별","인천광역시",소득 평균 (만원),4054
"2015","시도별","광주광역시",소득 평균 (만원),4101
"2015","시도별","대전광역시",소득 평균 (만원),4298
"2015","시도별","울산광역시",소득 평균 (만원),4926
"2015","시도별","세종특별자치시",소득 평균 (만원),5156
"2015","시도별","경기도",소득 평균 (만원),4706
"2015","시도별","강원도",소득 평균 (만원),3798
"2015","시도별","충청북도",소득 평균 (만원),4222
"2015","시도별","충청남도",소득 평균 (만원),4579
"2015","시도별","전라북도",소득 평균 (만원),3659
"2015","시도별","전라남도",소득 평균 (만원),3670
"2015","시도별","경상북도",소득 평균 (만원),3998
"2015","시도별","경상남도",소득 평균 (만원),4194
"2015","시도별","제주특별자치도",소득 평균 (만원),3538
"2015","맞벌이여부별","맞벌이",소득 평균 (만원),6563
"2015","맞벌이여부별","외벌이",소득 평균 (만원),3707
"2015","맞벌이여부별","미상",소득 평균 (만원),621
"2015","출산자녀수별","무자녀",소득 평균 (만원),4968
"2015","출산자녀수별","유자녀",소득 평균 (만원),4370
"2015","주택소유물건수별","주택 미소유",소득 평균 (만원),4133
"2015","주택소유물건수별","주택 소유",소득 평균 (만원),5135
"2016","전국","소계",소득 평균 (만원),4778
"2016","혼인연차별","혼인1년차",소득 평균 (만원),4830
"2016","혼인연차별","혼인2년차",소득 평균 (만원),4619
"2016","혼인연차별","혼인3년차",소득 평균 (만원),4667
"2016","혼인연차별","혼인4년차",소득 평균 (만원),4784
"2016","혼인연차별","혼인5년차",소득 평균 (만원),4987
"2016","시도별","서울특별시",소득 평균 (만원),5797
"2016","시도별","부산광역시",소득 평균 (만원),4536
"2016","시도별","대구광역시",소득 평균 (만원),4259
"2016","시도별","인천광역시",소득 평균 (만원),4301
"2016","시도별","광주광역시",소득 평균 (만원),4324
"2016","시도별","대전광역시",소득 평균 (만원),4505
"2016","시도별","울산광역시",소득 평균 (만원),4894
