"시점","신혼부부 특성별(1)",신혼부부 특성별(2),주택 미소유,주택 소유
"2015","전국",소계,830938,640709
"2015","혼인연차별",혼인 1년차,185221,105545
"2015","혼인연차별",혼인 2년차,177166,117796
"2015","혼인연차별",혼인 3년차,166415,133128
"2015","혼인연차별",혼인 4년차,157563,139555
"2015","혼인연차별",혼인 5년차,144573,144685
"2015","시도별",서울특별시,184537,106804
"2015","시도별",부산광역시,46613,43966
"2015","시도별",대구광역시,33458,29353
"2015","시도별",인천광역시,48964,40783
"2015","시도별",광주광역시,19626,21081
"2015","시도별",대전광역시,24827,18976
"2015","시도별",울산광역시,17361,21176
"2015","시도별",세종특별자치시,4432,3675
"2015","시도별",경기도,228821,159168
"2015","시도별",강원도,21992,16149
"2015","시도별",충청북도,23319,20234
"2015","시도별",충청남도,33189,27522
"2015","시도별",전라북도,23917,21065
"2015","시도별",전라남도,24402,21070
"2015","시도별",경상북도,37013,33026
"2015","시도별",경상남도,47929,49032
"2015","시도별",제주특별자치도,10540,7633
"2015","남편 연령별",19세이하,404,8
"2015","남편 연령별",20~24세,13913,1143
"2015","남편 연령별",25~29세,97532,34925
"2015","남편 연령별",30~34세,336403,230624
"2015","남편 연령별",35~39세,212151,195587
"2015","남편 연령별",40~44세,79315,79228
"2015","남편 연령별",45~49세,36599,35083
"2015","남편 연령별",50세이상,54621,64111
"2016","전국",소계,803306,633642
"2016","혼인연차별",혼인 1년차,178254,100338
"2016","혼인연차별",혼인 2년차,169301,115022
"2016","혼인연차별",혼인 3년차,160177,128512
"2016","혼인연차별",혼인 4년차,152475,141248
"2016","혼인연차별",혼인 5년차,143099,148522
"2016","시도별",서울특별시,171745,106549
"2016","시도별",부산광역시,44875,43465
"2016","시도별",대구광역시,32534,28822
"2016","시도별",인천광역시,47843,40055
"2016","시도별",광주광역시,19018,20291
"2016","시도별",대전광역시,24283,18167
"2016","시도별",울산광역시,16919,20588
"2016","시도별",세종특별자치시,5548,4350
"2016","시도별",경기도,225397,158367
"2016","시도별",강원도,21463,15983
"2016","시도별",충청북도,23477,19507
"2016","시도별",충청남도,31175,28793
"2016","시도별",전라북도,22851,20175
"2016","시도별",전라남도,23667,20461
"2016","시도별",경상북도,35499,32789
"2016","시도별",경상남도,46373,47460
"2016","시도별",제주특별자치도,10645,7824
"2016","남편 연령별",19세이하,336,6
"2016","남편 연령별",20~24세,13592,1073
"2016","남편 연령별",25~29세,92615,32549
"2016","남편 연령별",30~34세,308976,213448
"2016","남편 연령별",35~39세,220425,204367
"2016","남편 연령별",40~44세,76212,79003
"2016","남편 연령별",45~49세,36947,37384
"2016","남편 연령별",50세이상,54203,65812
"2017","전국",소계,763145,616621
"2017","혼인연차별",혼인 1년차,166879,91656
"2017","혼인연차별",혼인 2년차,161519,110770
"2017","혼인연차별",혼인 3년차,152146,125988
"2017","혼인연차별",혼인 4년차,145290,137454
"2017","혼인연차별",혼인 5년차,137311,150753
"2017","시도별",서울특별시,160058,103090
"2017","시도별",부산광역시,42310,41235
"2017","시도별",대구광역시,30550,28552
"2017","시도별",인천광역시,44745,38874
"2017","시도별",광주광역시,18008,19526
"2017","시도별",대전광역시,23690,16371
"2017","시도별",울산광역시,15814,19562
"2017","시도별",세종특별자치시,5997,5035
"2017","시도별",경기도,217101,155521
